name,meaning,advice
The Fool 愚者,新的開始、無限的潛力、自發性、純真。,勇敢地踏出你的舒適圈，相信自己的直覺，勇往直前，冒險尋找新的機會。
The Magician 魔術師,具現化、機智、權力、啟發的行動。,運用你的技能和資源，將想法具現化。相信自己的創造力，積極地行動，利用機會實現目標。
The High Priestess 女祭司,直覺、隱秘的知識、內在平衡。,深入內心尋找答案。相信你的直覺和靈感，保持冷靜和平衡，探索你的內在世界。
The Empress 女皇,豐饒、愛、創造力、母性。,照顧和培養你的創造力和關係。以愛和慈悲之心對待自己和他人。享受生活的豐盛和美好。
The Emperor 皇帝,權威、穩定、自律、實現目標。,發揮領導能力，制定明確的目標和計劃。保持穩定和自律，追求成功和成就。
The Hierophant 教皇,傳統、信仰、導師、道德規範。,尋找智慧和精神指導。遵循傳統價值觀，尋求道德和倫理的指引。尋找一個導師或老師的幫助。
The Lovers 戀人,愛、合一、選擇、關係。,在愛和關係中做出選擇。與他人建立真實的連結，並保持真誠和開放的心態。聆聽內心的聲音。
The Chariot 戰車,勝利、意志力、奮鬥、掌控。,保持堅定的意志力，朝著目標前進。管理和掌控自己的生活，克服困難並取得勝利。
Strength 力量,勇氣、內在力量、自信。,相信自己的能力和內在力量。用愛和溫柔的方式處理困難，以堅韌和勇氣面對挑戰。
The Hermit 隱士,內省、尋找智慧、孤獨、光明指引。,獨處時間來反思和尋找智慧。個人成長來自於內在的洞察力。尋找內在的平靜和指引。
Wheel of Fortune 命運之輪,運氣、變化、命運、循環。,接受變化和命運的起伏。抓住機會並適應變化。記住一切皆有循環，好運會再度來臨。
Justice 正義,公正、平衡、道德、法律。,以公正和道德的方式行事。尋求平衡和公平。面對真相並做出正確的決定。
The Hanged Man 吊人,放棄、犧牲、觀點轉變、順應。,放下對控制的執著，接受變化。透過改變觀點來獲得新的洞察力。學會順應和放鬆。
Death 死神,結束、轉變、重生、變革。,接受結束和轉變的到來。看到結束是新的開始，接受變革並迎接重生的機會。
Temperance 節制,平衡、和諧、調和、節制。,尋求內在和諧的平衡。以節制和耐心的方式處理事物。尋求身心靈的平衡。
The Devil 惡魔,誘惑、束縛、限制、貪婪。,警惕誘惑和不健康的習慣。擺脫束縛並追求真正的自由。拒絕貪婪和依賴。
The Tower 塔,災難、突變、崩塌、觸動。,接受變動和突變所帶來的挑戰。與困難和災難面對並學習成長。重建在新的基礎上。
The Star 星星,希望、導引、恢復、啟示。,抱著希望並尋求導引。相信自己的內在力量和智慧。透過靈感和直覺找到恢復和啟示的方向。
The Moon 月亮,不確定、幻象、潛意識、直覺。,探索潛意識和情感世界。信任直覺和感受，但要小心幻象和誤導。接受不確定性並找到內在的平靜。
The Sun 太陽,幸福、光明、成功、自信。,享受幸福和光明。追求目標並獲得成功。展現自信和正面能量。
Judgment 審判,覺醒、復甦、轉變、重新評估。,覺醒和轉變的時刻。從過去的經驗中學習，重新評估自己的價值觀和目標。
The World 世界,完成、圓滿、成就、整體。,完成一個階段並獲得成就感。進入新的階段並享受整體的和諧。慶祝自己的成就。
Ace of Wands 權杖Ace,新的開始、創造力、潛在能量。,抓住新的機會，發揮創造力和潛力。專注於目標並展現勇氣。
Two of Wands 權杖Two,計劃、遠見、合作。,制定計劃並展望未來。尋求合作和伙伴關係以實現目標。
Three of Wands 權杖Three,擴展、增長、遠景。,追求更大的機會和成長。展望遠景並準備迎接新的挑戰。
Four of Wands 權杖Four,穩定、慶祝、家庭、團結。,享受穩定和成功的時刻。慶祝成就並建立和諧的家庭和團隊。
Five of Wands 權杖Five,競爭、衝突、挑戰。,面對競爭和衝突，尋找解決衝突的方法。持續努力並克服挑戰。
Six of Wands 權杖Six,勝利、認可、領導。,獲得勝利和認可。展示領導才能和成就。
Seven of Wands 權杖Seven,堅持、防衛、信念。,堅持自己的信念和立場。保護自己免受外界壓力和批評。
Eight of Wands 權杖Eight,快速、行動、進展。,快速行動和進展。抓住機會並迅速前進。
Nine of Wands 權杖Nine,堅持、恢復、堅強。,經歷挑戰後的堅持和恢復。展現堅強的意志力和毅力。
Ten of Wands 權杖Ten,負擔、壓力、超負荷。,感到壓力和負擔。需要釋放部分負擔並找到平衡。
Page of Wands 權杖Page,創意、冒險、新契機。,充滿創意和冒險精神。追求新的契機和機會。
Knight of Wands 權杖Knight,行動、熱情、勇敢。,充滿行動力和熱情。勇往直前，追求自己的目標。
Queen of Wands 權杖Queen,自信、熱情、領導力。,展現自信和熱情。具有領導能力和決斷力。激發他人的熱情和創造力。
King of Wands 權杖King,權威、熱情、企業家精神。,展現權威和領導能力。具有創業家精神和冒險精神。運用自己的熱情和才華追求成功。
Ace of Swords 寶劍Ace,新的思維、洞察力、勝利。,迎接新的思維和洞察力。利用清晰的思考和勇氣獲得勝利。
Two of Swords 寶劍Two,抉擇、平衡、謹慎。,面臨抉擇時保持平衡和謹慎。需冷靜思考並採取明智的行動。
Three of Swords 寶劍Three,心碎、悲傷、痛苦。,經歷心碎和悲傷。需要面對並處理情感的痛苦。
Four of Swords 寶劍Four,休息、平靜、恢復。,需要休息和平靜。尋找內心的平靜並恢復身心的健康。
Five of Swords 寶劍Five,失敗、衝突、挫折。,面對失敗、衝突和挫折。學習從逆境中成長並保護自己。
Six of Swords 寶劍Six,轉變、離開、進步。,進行轉變並向前邁進。離開過去的困境並追求進步。
Seven of Swords 寶劍Seven,欺騙、不誠實、計謀。,小心欺騙和不誠實的行為。需要謹慎處理他人的意圖和計謀。
Eight of Swords 寶劍Eight,束縛、無助、困境。,感到束縛和無助。需克服困境並找到解脫的方法。
Nine of Swords 寶劍Nine,焦慮、擔憂、恐懼。,困擾於焦慮、擔憂和恐懼。需面對並釋放內心的不安。
Ten of Swords 寶劍Ten,結束、痛苦、轉變。,經歷痛苦的結束和轉變。需放下過去並開始新的征程。
Page of Swords 寶劍Page,觀察、靈敏、新奇。,保持觀察和靈敏的態度。探索新奇的事物並發展知識和技巧。
Knight of Swords 寶劍Knight,行動、決斷、勇敢。,勇於行動和做出決斷。追求目標並展現勇氣。
Queen of Swords 寶劍Queen,聰慧、獨立、理性。,展現聰慧和獨立的品質。以理性和明智的方式解決問題。保持冷靜和客觀的態度。
King of Swords 寶劍King,權威、分析、公正。,展現權威和領導能力。具有敏銳的分析力和公正的判斷力。運用智慧和策略獲得成功。
Ace of Pentacles 金幣Ace,新的財富、機會、成功。,迎接新的財富和機會。利用實踐和努力實現成功。
Two of Pentacles 金幣Two,平衡、選擇、彈性。,在選擇和平衡中保持彈性。需靈活應對變化並找到最佳解決方案。
Three of Pentacles 金幣Three,團隊合作、專業、成就。,透過團隊合作和專業技能取得成就。展現自己的才華和能力。
Four of Pentacles 金幣Four,穩定、財富、安全感。,追求穩定和財富的安全感。需平衡財務和物質需求。
Five of Pentacles 金幣Five,貧困、損失、困境。,面臨貧困、損失和困境。需尋求支持和重新建立穩定。
Six of Pentacles 金幣Six,慷慨、分享、公正。,展現慷慨和分享的態度。遵循公正原則並回饋社會。
Seven of Pentacles 金幣Seven,耐心、收穫、等待。,具備耐心並等待收穫的時機。需評估並調整目標。
Eight of Pentacles 金幣Eight,專注、努力、精通。,專注於工作和努力學習。追求專業技能和精通領域。
Nine of Pentacles 金幣Nine,獨立、豐裕、享受。,享受獨立和豐裕的生活。懂得享受自己的成果。
Ten of Pentacles 金幣Ten,繁榮、家庭、傳承。,經歷繁榮和家庭的傳承。重視家庭價值並維護財富。
Page of Pentacles 金幣Page,學習、新奇、實用。,保持學習的態度並追求新奇事物。將學習應用於實際生活。
Knight of Pentacles 金幣Knight,踏實、穩定、負責。,具有踏實和穩定的性格。負責任並努力實現目標。
Queen of Pentacles 金幣Queen,實在、慈悲、豐盛。,展現實在和慈悲的品質。營造豐盛和穩定的生活環境。關心他人並提供支持。
King of Pentacles 金幣King,穩健、繁榮、權威。,展現穩健和繁榮的能力。具有權威和財富的領導能力。運用資源創造成功。
Ace of Cups 聖杯Ace,愛、情感、新的開始。,迎接愛和情感的新開始。打開心扉並接受愛的能量。
Two of Cups 聖杯Two,合作、平衡、愛情。,在合作和平衡中建立深厚的愛情關係。相互支持和共享。
Three of Cups 聖杯Three,歡樂、共慶、友情。,與朋友共慶歡樂的時刻。建立和深化友情關係。
Four of Cups 聖杯Four,冥想、內省、迷失。,進入冥想和內省的階段。需面對內心的迷失和不滿。
Five of Cups 聖杯Five,失落、悲傷、挫折。,面對失落、悲傷和挫折。需接受過去並尋找新的希望。
Six of Cups 聖杯Six,回憶、童心、友善。,回憶童年和純真的時光。以友善和慈愛的態度對待他人。
Seven of Cups 聖杯Seven,幻想、選擇、迷離。,面臨幻想和迷離的選擇。需澄清目標並做出明智的抉擇。
Eight of Cups 聖杯Eight,放下、尋找、內心探索。,放下過去並尋找更有意義的道路。進行內心的探索和成長。
Nine of Cups 聖杯Nine,滿足、願望、幸福。,獲得心願的滿足和幸福感。享受豐盛和內在的喜悅。
Ten of Cups 聖杯Ten,圓滿、家庭、和諧。,達到家庭和諧的圓滿。在愛和情感中獲得完整的滿足。
Page of Cups 聖杯Page,創意、直覺、靈感。,展現創意和直覺的能力。接收靈感並將其表現出來。
Knight of Cups 聖杯Knight,浪漫、夢想、表達情感。,具有浪漫和夢想的性格。表達情感並追求內心的願望。
Queen of Cups 聖杯Queen,情感、直覺、溫柔。,展現情感和直覺的特質。具有溫柔和關懷他人的能力。
King of Cups 聖杯King,情感智慧、慈悲、內在平衡。,展現情感智慧和內在平衡。具有慈悲和同理心的領導能力。

